Full_Date,Date_ID,Day,Month,Month_Name,Quarter,Year,Weekday
2024-06-06,62,6,6,June,2,2024,Thursday
2024-05-07,63,7,5,May,2,2024,Tuesday
2024-10-20,64,20,10,October,4,2024,Sunday
2024-03-07,65,7,3,March,1,2024,Thursday
2024-02-28,66,28,2,February,1,2024,Wednesday
2024-04-02,67,2,4,April,2,2024,Tuesday
2024-11-03,68,3,11,November,4,2024,Sunday
2024-01-12,69,12,1,January,1,2024,Friday
2023-12-17,70,17,12,December,4,2023,Sunday
2024-07-11,71,11,7,July,3,2024,Thursday
2024-12-01,72,1,12,December,4,2024,Sunday
2024-04-08,73,8,4,April,2,2024,Monday
2024-12-05,74,5,12,December,4,2024,Thursday
2024-10-10,75,10,10,October,4,2024,Thursday
2024-10-18,76,18,10,October,4,2024,Friday
2024-12-06,77,6,12,December,4,2024,Friday
2023-12-18,78,18,12,December,4,2023,Monday
2024-04-05,79,5,4,April,2,2024,Friday
2024-03-06,80,6,3,March,1,2024,Wednesday
2024-02-06,81,6,2,February,1,2024,Tuesday
2024-02-23,82,23,2,February,1,2024,Friday
2024-02-10,83,10,2,February,1,2024,Saturday
2024-07-08,84,8,7,July,3,2024,Monday
2024-06-23,85,23,6,June,2,2024,Sunday
2024-10-19,86,19,10,October,4,2024,Saturday
2024-03-31,87,31,3,March,1,2024,Sunday
2024-08-27,88,27,8,August,3,2024,Tuesday
2024-08-10,89,10,8,August,3,2024,Saturday
2024-07-21,90,21,7,July,3,2024,Sunday
2024-10-12,91,12,10,October,4,2024,Saturday
2024-09-23,92,23,9,September,3,2024,Monday
2024-11-23,93,23,11,November,4,2024,Saturday
2024-04-07,94,7,4,April,2,2024,Sunday
2024-10-25,95,25,10,October,4,2024,Friday
2024-11-19,96,19,11,November,4,2024,Tuesday
2024-03-14,97,14,3,March,1,2024,Thursday
2024-03-20,98,20,3,March,1,2024,Wednesday
2024-09-06,99,6,9,September,3,2024,Friday
2024-06-01,100,1,6,June,2,2024,Saturday
2024-07-30,101,30,7,July,3,2024,Tuesday
2024-11-14,102,14,11,November,4,2024,Thursday
2024-02-04,103,4,2,February,1,2024,Sunday
2024-03-28,104,28,3,March,1,2024,Thursday
2024-06-05,105,5,6,June,2,2024,Wednesday
2024-01-26,106,26,1,January,1,2024,Friday
2024-02-12,107,12,2,February,1,2024,Monday
2023-12-10,108,10,12,December,4,2023,Sunday
2024-10-09,109,9,10,October,4,2024,Wednesday
2024-11-02,110,2,11,November,4,2024,Saturday
2024-02-16,111,16,2,February,1,2024,Friday
2024-10-13,112,13,10,October,4,2024,Sunday
2024-09-12,113,12,9,September,3,2024,Thursday
2024-08-14,114,14,8,August,3,2024,Wednesday
2023-12-19,115,19,12,December,4,2023,Tuesday
2024-08-07,116,7,8,August,3,2024,Wednesday
2024-11-28,117,28,11,November,4,2024,Thursday
2024-04-21,118,21,4,April,2,2024,Sunday
2024-08-30,119,30,8,August,3,2024,Friday
2024-10-01,120,1,10,October,4,2024,Tuesday
2024-02-27,121,27,2,February,1,2024,Tuesday
2024-07-19,122,19,7,July,3,2024,Friday
2024-07-20,123,20,7,July,3,2024,Saturday
2024-11-21,124,21,11,November,4,2024,Thursday
2024-08-09,125,9,8,August,3,2024,Friday
2024-07-24,126,24,7,July,3,2024,Wednesday
2024-05-23,127,23,5,May,2,2024,Thursday
2024-05-20,128,20,5,May,2,2024,Monday
2024-08-13,129,13,8,August,3,2024,Tuesday
2023-12-30,130,30,12,December,4,2023,Saturday
2024-11-18,131,18,11,November,4,2024,Monday
2023-12-23,132,23,12,December,4,2023,Saturday
2024-05-15,133,15,5,May,2,2024,Wednesday
2024-06-08,134,8,6,June,2,2024,Saturday
2024-02-26,135,26,2,February,1,2024,Monday
2024-10-15,136,15,10,October,4,2024,Tuesday
2024-11-08,137,8,11,November,4,2024,Friday
2024-08-26,138,26,8,August,3,2024,Monday
2024-09-01,139,1,9,September,3,2024,Sunday
2024-01-16,140,16,1,January,1,2024,Tuesday
2024-08-23,141,23,8,August,3,2024,Friday
2023-12-31,142,31,12,December,4,2023,Sunday
2024-01-21,143,21,1,January,1,2024,Sunday
2024-05-31,144,31,5,May,2,2024,Friday
2024-07-02,145,2,7,July,3,2024,Tuesday
2024-07-31,146,31,7,July,3,2024,Wednesday
2024-05-09,147,9,5,May,2,2024,Thursday
2024-04-27,148,27,4,April,2,2024,Saturday
2024-04-26,149,26,4,April,2,2024,Friday
2024-09-28,150,28,9,September,3,2024,Saturday
2024-07-12,151,12,7,July,3,2024,Friday
2024-05-12,152,12,5,May,2,2024,Sunday
2024-04-16,153,16,4,April,2,2024,Tuesday
2024-06-28,154,28,6,June,2,2024,Friday
2024-09-30,155,30,9,September,3,2024,Monday
2024-06-07,156,7,6,June,2,2024,Friday
2023-12-07,157,7,12,December,4,2023,Thursday
2024-01-02,158,2,1,January,1,2024,Tuesday
2024-04-14,159,14,4,April,2,2024,Sunday
2024-02-29,160,29,2,February,1,2024,Thursday
2024-05-26,161,26,5,May,2,2024,Sunday
2024-07-01,162,1,7,July,3,2024,Monday
2024-05-03,163,3,5,May,2,2024,Friday
2024-01-13,164,13,1,January,1,2024,Saturday
2024-08-04,165,4,8,August,3,2024,Sunday
2024-09-21,166,21,9,September,3,2024,Saturday
2024-09-17,167,17,9,September,3,2024,Tuesday
2024-07-23,168,23,7,July,3,2024,Tuesday
2024-04-11,169,11,4,April,2,2024,Thursday
2024-04-22,170,22,4,April,2,2024,Monday
2024-08-02,171,2,8,August,3,2024,Friday
2024-01-07,172,7,1,January,1,2024,Sunday
2024-07-26,173,26,7,July,3,2024,Friday
2024-01-11,174,11,1,January,1,2024,Thursday
2024-01-18,175,18,1,January,1,2024,Thursday
2024-08-16,176,16,8,August,3,2024,Friday
2024-09-04,177,4,9,September,3,2024,Wednesday
2024-10-03,178,3,10,October,4,2024,Thursday
2024-06-24,179,24,6,June,2,2024,Monday
2024-11-17,180,17,11,November,4,2024,Sunday
2024-08-22,181,22,8,August,3,2024,Thursday
2024-01-20,182,20,1,January,1,2024,Saturday
2024-06-25,183,25,6,June,2,2024,Tuesday
2024-03-22,184,22,3,March,1,2024,Friday
2024-10-28,185,28,10,October,4,2024,Monday
2024-03-12,186,12,3,March,1,2024,Tuesday
2024-11-06,187,6,11,November,4,2024,Wednesday
2024-03-29,188,29,3,March,1,2024,Friday
2024-07-22,189,22,7,July,3,2024,Monday
2024-10-14,190,14,10,October,4,2024,Monday
2024-06-21,191,21,6,June,2,2024,Friday
2024-03-23,192,23,3,March,1,2024,Saturday
2024-09-16,193,16,9,September,3,2024,Monday
2024-08-08,194,8,8,August,3,2024,Thursday
2024-03-25,195,25,3,March,1,2024,Monday
2024-11-27,196,27,11,November,4,2024,Wednesday
2024-08-31,197,31,8,August,3,2024,Saturday
2024-06-10,198,10,6,June,2,2024,Monday
2024-08-12,199,12,8,August,3,2024,Monday
2024-11-15,200,15,11,November,4,2024,Friday
2024-02-22,201,22,2,February,1,2024,Thursday
2024-07-17,202,17,7,July,3,2024,Wednesday
2024-08-06,203,6,8,August,3,2024,Tuesday
2024-03-02,204,2,3,March,1,2024,Saturday
2024-01-31,205,31,1,January,1,2024,Wednesday
2024-05-02,206,2,5,May,2,2024,Thursday
2024-10-22,207,22,10,October,4,2024,Tuesday
2024-07-29,208,29,7,July,3,2024,Monday
2024-05-30,209,30,5,May,2,2024,Thursday
2024-07-09,210,9,7,July,3,2024,Tuesday
2024-04-06,211,6,4,April,2,2024,Saturday
2024-12-03,212,3,12,December,4,2024,Tuesday
2024-08-24,213,24,8,August,3,2024,Saturday
2024-07-25,214,25,7,July,3,2024,Thursday
2023-12-13,215,13,12,December,4,2023,Wednesday
2024-10-04,216,4,10,October,4,2024,Friday
2024-12-04,217,4,12,December,4,2024,Wednesday
2024-02-03,218,3,2,February,1,2024,Saturday
2024-11-22,219,22,11,November,4,2024,Friday
2024-04-18,220,18,4,April,2,2024,Thursday
2024-03-09,221,9,3,March,1,2024,Saturday
2024-08-29,222,29,8,August,3,2024,Thursday
2024-11-25,223,25,11,November,4,2024,Monday
2024-09-29,224,29,9,September,3,2024,Sunday
2024-09-19,225,19,9,September,3,2024,Thursday
2024-05-25,226,25,5,May,2,2024,Saturday
2024-05-18,227,18,5,May,2,2024,Saturday
2024-07-04,228,4,7,July,3,2024,Thursday
2024-03-17,229,17,3,March,1,2024,Sunday
2024-04-24,230,24,4,April,2,2024,Wednesday
2024-06-12,231,12,6,June,2,2024,Wednesday
2024-09-24,232,24,9,September,3,2024,Tuesday
2024-02-13,233,13,2,February,1,2024,Tuesday
2024-06-18,234,18,6,June,2,2024,Tuesday
2024-05-11,235,11,5,May,2,2024,Saturday
2024-02-17,236,17,2,February,1,2024,Saturday
2024-02-15,237,15,2,February,1,2024,Thursday
2024-01-28,238,28,1,January,1,2024,Sunday
2024-11-05,239,5,11,November,4,2024,Tuesday
2024-10-31,240,31,10,October,4,2024,Thursday
2024-11-13,241,13,11,November,4,2024,Wednesday
2024-10-23,242,23,10,October,4,2024,Wednesday
2024-09-02,243,2,9,September,3,2024,Monday
2024-02-18,244,18,2,February,1,2024,Sunday
2024-01-05,245,5,1,January,1,2024,Friday
2024-11-26,246,26,11,November,4,2024,Tuesday
2024-06-22,247,22,6,June,2,2024,Saturday
2024-06-04,248,4,6,June,2,2024,Tuesday
2024-10-24,249,24,10,October,4,2024,Thursday
2023-12-28,250,28,12,December,4,2023,Thursday
2024-01-10,251,10,1,January,1,2024,Wednesday
2024-01-08,252,8,1,January,1,2024,Monday
2024-05-21,253,21,5,May,2,2024,Tuesday
2024-09-26,254,26,9,September,3,2024,Thursday
2024-06-13,255,13,6,June,2,2024,Thursday
2024-06-14,256,14,6,June,2,2024,Friday
2024-12-02,257,2,12,December,4,2024,Monday
2024-09-25,258,25,9,September,3,2024,Wednesday
2024-03-05,259,5,3,March,1,2024,Tuesday
2024-11-04,260,4,11,November,4,2024,Monday
2024-08-11,261,11,8,August,3,2024,Sunday
2024-03-26,262,26,3,March,1,2024,Tuesday
2024-03-13,263,13,3,March,1,2024,Wednesday
2023-12-26,264,26,12,December,4,2023,Tuesday
2024-09-08,265,8,9,September,3,2024,Sunday
2024-06-26,266,26,6,June,2,2024,Wednesday
2023-12-20,267,20,12,December,4,2023,Wednesday
2024-06-29,268,29,6,June,2,2024,Saturday
2024-01-04,269,4,1,January,1,2024,Thursday
2024-09-13,270,13,9,September,3,2024,Friday
2023-12-09,271,9,12,December,4,2023,Saturday
2024-07-10,272,10,7,July,3,2024,Wednesday
2024-08-21,273,21,8,August,3,2024,Wednesday
2024-05-06,274,6,5,May,2,2024,Monday
2024-05-28,275,28,5,May,2,2024,Tuesday
2024-01-09,276,9,1,January,1,2024,Tuesday
2024-11-12,277,12,11,November,4,2024,Tuesday
2024-08-19,278,19,8,August,3,2024,Monday
2024-09-15,279,15,9,September,3,2024,Sunday
2024-10-17,280,17,10,October,4,2024,Thursday
2024-05-19,281,19,5,May,2,2024,Sunday
2024-02-08,282,8,2,February,1,2024,Thursday
2024-09-18,283,18,9,September,3,2024,Wednesday
2024-11-16,284,16,11,November,4,2024,Saturday
2024-07-13,285,13,7,July,3,2024,Saturday
2024-06-16,286,16,6,June,2,2024,Sunday
2024-05-24,287,24,5,May,2,2024,Friday
2024-07-16,288,16,7,July,3,2024,Tuesday
2024-05-14,289,14,5,May,2,2024,Tuesday
2024-01-30,290,30,1,January,1,2024,Tuesday
2024-01-23,291,23,1,January,1,2024,Tuesday
2024-04-12,292,12,4,April,2,2024,Friday
2024-04-17,293,17,4,April,2,2024,Wednesday
2024-03-01,294,1,3,March,1,2024,Friday
2024-11-01,295,1,11,November,4,2024,Friday
2024-08-20,296,20,8,August,3,2024,Tuesday
2024-04-19,297,19,4,April,2,2024,Friday
2024-06-27,298,27,6,June,2,2024,Thursday
2024-02-02,299,2,2,February,1,2024,Friday
2024-02-01,300,1,2,February,1,2024,Thursday
2024-07-18,301,18,7,July,3,2024,Thursday
2023-12-15,302,15,12,December,4,2023,Friday
2024-06-15,303,15,6,June,2,2024,Saturday
2024-05-17,304,17,5,May,2,2024,Friday
2024-01-25,305,25,1,January,1,2024,Thursday
2024-05-10,306,10,5,May,2,2024,Friday
2024-01-22,307,22,1,January,1,2024,Monday
2024-03-11,308,11,3,March,1,2024,Monday
2024-08-17,309,17,8,August,3,2024,Saturday
2024-06-20,310,20,6,June,2,2024,Thursday
2024-02-25,311,25,2,February,1,2024,Sunday
2024-10-05,312,5,10,October,4,2024,Saturday
2024-02-11,313,11,2,February,1,2024,Sunday
2024-01-15,314,15,1,January,1,2024,Monday
2024-07-07,315,7,7,July,3,2024,Sunday
2023-12-22,316,22,12,December,4,2023,Friday
2024-08-28,317,28,8,August,3,2024,Wednesday
2024-01-24,318,24,1,January,1,2024,Wednesday
2024-07-27,319,27,7,July,3,2024,Saturday
2024-04-28,320,28,4,April,2,2024,Sunday
2023-12-27,321,27,12,December,4,2023,Wednesday
2024-06-03,322,3,6,June,2,2024,Monday
2024-06-11,323,11,6,June,2,2024,Tuesday
2024-01-03,324,3,1,January,1,2024,Wednesday
2024-07-14,325,14,7,July,3,2024,Sunday
2024-01-29,326,29,1,January,1,2024,Monday
2024-03-19,327,19,3,March,1,2024,Tuesday
2024-11-30,328,30,11,November,4,2024,Saturday
2024-10-27,329,27,10,October,4,2024,Sunday
2024-04-23,330,23,4,April,2,2024,Tuesday
2024-06-17,331,17,6,June,2,2024,Monday
2024-09-27,332,27,9,September,3,2024,Friday
2024-02-19,333,19,2,February,1,2024,Monday
2024-02-05,334,5,2,February,1,2024,Monday
2024-11-20,335,20,11,November,4,2024,Wednesday
2023-12-14,336,14,12,December,4,2023,Thursday
2024-10-21,337,21,10,October,4,2024,Monday
2024-09-03,338,3,9,September,3,2024,Tuesday
2024-02-07,339,7,2,February,1,2024,Wednesday
2023-12-29,340,29,12,December,4,2023,Friday
2024-07-15,341,15,7,July,3,2024,Monday
2024-03-18,342,18,3,March,1,2024,Monday
2024-06-19,343,19,6,June,2,2024,Wednesday
2024-05-04,344,4,5,May,2,2024,Saturday
2024-01-01,345,1,1,January,1,2024,Monday
2024-10-16,346,16,10,October,4,2024,Wednesday
2024-11-10,347,10,11,November,4,2024,Sunday
2024-11-09,348,9,11,November,4,2024,Saturday
2024-08-03,349,3,8,August,3,2024,Saturday
2024-09-11,350,11,9,September,3,2024,Wednesday
2023-12-25,351,25,12,December,4,2023,Monday
2024-09-20,352,20,9,September,3,2024,Friday
2024-10-08,353,8,10,October,4,2024,Tuesday
2024-08-18,354,18,8,August,3,2024,Sunday
2024-01-06,355,6,1,January,1,2024,Saturday
2024-07-28,356,28,7,July,3,2024,Sunday
2023-12-24,357,24,12,December,4,2023,Sunday
2024-05-29,358,29,5,May,2,2024,Wednesday
2024-03-03,359,3,3,March,1,2024,Sunday
2024-06-02,360,2,6,June,2,2024,Sunday
2023-12-12,361,12,12,December,4,2023,Tuesday
2024-04-25,362,25,4,April,2,2024,Thursday
2024-03-10,363,10,3,March,1,2024,Sunday
2024-04-20,364,20,4,April,2,2024,Saturday
2024-10-02,365,2,10,October,4,2024,Wednesday
2024-03-24,366,24,3,March,1,2024,Sunday
